Code	Description
P042	"Fetus and newborn affected by maternal use of tobacco"
P043	"Fetus and newborn affected by maternal use of alcohol"
P044	"Fetus and newborn affected by maternal use of drugs of addiction"
P045	"Fetus and newborn affected by maternal use of nutritional chemical substances"
P046	"Fetus and newborn affected by maternal exposure to environmental chemical substances"
P048	"Fetus and newborn affected by other maternal noxious influences"
P049	"Fetus and newborn affected by maternal noxious influence	 unspecified"
P05	"Slow fetal growth and fetal malnutrition"
P050	"Light for gestational age"
P051	"Small for gestational age"
P052	"Fetal malnutrition without mention of light or small for gestational age"
P059	"Slow fetal growth	 unspecified"
P07	"Disorders related to short gestation and low birth weight	 not elsewhere classified"
P070	"Extremely low birth weight"
P071	"Other low birth weight"
P072	"Extreme immaturity"
P073	"Other preterm infants"
P08	"Disorders related to long gestation and high birth weight"
P080	"Exceptionally large baby"
P081	"Other heavy for gestational age infants"
P082	"Post-term infant	 not heavy for gestational age"
P10	"Intracranial laceration and haemorrhage due to birth injury"
P100	"Subdural haemorrhage due to birth injury"
P101	"Cerebral haemorrhage due to birth injury"
P102	"Intraventricular haemorrhage due to birth injury"
P103	"Subarachnoid haemorrhage due to birth injury"
P104	"Tentorial tear due to birth injury"
P108	"Other intracranial lacerations and haemorrhages due to birth injury"
P109	"Unspecified intracranial laceration and haemorrhage due to birth injury"
P11	"Other birth injuries to central nervous system"
P110	"Cerebral oedema due to birth injury"
P111	"Other specified brain damage due to birth injury"
P112	"Unspecified brain damage due to birth injury"
P113	"Birth injury to facial nerve"
P114	"Birth injury to other cranial nerves"
P115	"Birth injury to spine and spinal cord"
P119	"Birth injury to central nervous system	 unspecified"
P12	"Birth injury to scalp"
P120	"Cephalhaematoma due to birth injury"
P121	"Chignon due to birth injury"
P122	"Epicranial subaponeurotic haemorrhage due to birth injury"
P123	"Bruising of scalp due to birth injury"
P124	"Monitoring injury of scalp of newborn"
P128	"Other birth injuries to scalp"
P129	"Birth injury to scalp	 unspecified"
P13	"Birth injury to skeleton"
P130	"Fracture of skull due to birth injury"
P131	"Other birth injuries to skull"
P132	"Birth injury to femur"
P133	"Birth injury to other long bones"
P134	"Fracture of clavicle due to birth injury"
P138	"Birth injuries to other parts of skeleton"
P139	"Birth injury to skeleton	 unspecified"
P14	"Birth injury to peripheral nervous system"
P140	"Erb paralysis due to birth injury"
P141	"Klumpke paralysis due to birth injury"
P142	"Phrenic nerve paralysis due to birth injury"
P143	"Other brachial plexus birth injuries"
P148	"Birth injuries to other parts of peripheral nervous system"
P149	"Birth injury to peripheral nervous system	 unspecified"
P15	"Other birth injuries"
P150	"Birth injury to liver"
P151	"Birth injury to spleen"
P152	"Sternomastoid injury due to birth injury"
P153	"Birth injury to eye"
P154	"Birth injury to face"
P155	"Birth injury to external genitalia"
P156	"Subcutaneous fat necrosis due to birth injury"
P158	"Other specified birth injuries"
P159	"Birth injury	 unspecified"
P20	"Intrauterine hypoxia"
P200	"Intrauterine hypoxia first noted before onset of labour"
P201	"Intrauterine hypoxia first noted during labour and delivery"
P209	"Intrauterine hypoxia	 unspecified"
P21	"Birth asphyxia"
P210	"Severe birth asphyxia"
P211	"Mild and moderate birth asphyxia"
P219	"Birth asphyxia	 unspecified"
P22	"Respiratory distress of newborn"
P220	"Respiratory distress syndrome of newborn"
P221	"Transient tachypnoea of newborn"
P228	"Other respiratory distress of newborn"
P229	"Respiratory distress of newborn	 unspecified"
P23	"Congenital pneumonia"
P230	"Congenital pneumonia due to viral agent"
P231	"Congenital pneumonia due to Chlamydia"
P232	"Congenital pneumonia due to staphylococcus"
P233	"Congenital pneumonia due to streptococcus	 group B"
P234	"Congenital pneumonia due to Escherichia coli"
P235	"Congenital pneumonia due to Pseudomonas"
P236	"Congenital pneumonia due to other bacterial agents"
P238	"Congenital pneumonia due to other organisms"
P239	"Congenital pneumonia	 unspecified"
P24	"Neonatal aspiration syndromes"
P240	"Neonatal aspiration of meconium"
P241	"Neonatal aspiration of amniotic fluid and mucus"
P242	"Neonatal aspiration of blood"
P243	"Neonatal aspiration of milk and regurgitated food"
P248	"Other neonatal aspiration syndromes"
P249	"Neonatal aspiration syndrome	 unspecified"
P25	"Interstitial emphysema and related conditions originating in the perinatal period"
P250	"Interstitial emphysema originating in the perinatal period"
P251	"Pneumothorax originating in the perinatal period"
P252	"Pneumomediastinum originating in the perinatal period"
P253	"Pneumopericardium originating in the perinatal period"
P258	"Other conditions related to interstitial emphysema originating in the perinatal period"
P26	"Pulmonary haemorrhage originating in the perinatal period"
P260	"Tracheobronchial haemorrhage originating in the perinatal period"
P261	"Massive pulmonary haemorrhage originating in the perinatal period"
P268	"Other pulmonary haemorrhages originating in the perinatal period"
P269	"Unspecified pulmonary haemorrhage originating in the perinatal period"
P27	"Chronic respiratory disease originating in the perinatal period"
P270	"Wilson-Mikity syndrome"
P271	"Bronchopulmonary dysplasia originating in the perinatal period"
P278	"Other chronic respiratory diseases originating in the perinatal period"
P279	"Unspecified chronic respiratory disease originating in the perinatal period"
P28	"Other respiratory conditions originating in the perinatal period"
P280	"Primary atelectasis of newborn"
P281	"Other and unspecified atelectasis of newborn"
P282	"Cyanotic attacks of newborn"
P283	"Primary sleep apnoea of newborn"
P284	"Other apnoea of newborn"
P285	"Respiratory failure of newborn"
P288	"Other specified respiratory conditions of newborn"
P289	"Respiratory condition of newborn	 unspecified"
P29	"Cardiovascular disorders originating in the perinatal period"
P290	"Neonatal cardiac failure"
P291	"Neonatal cardiac dysrhythmia"
P292	"Neonatal hypertension"
P293	"Persistent fetal circulation"
P294	"Transient myocardial ischaemia of newborn"
P298	"Other cardiovascular disorders originating in the perinatal period"
P299	"Cardiovascular disorder originating in the perinatal period	 unspecified"
P35	"Congenital viral diseases"
P350	"Congenital rubella syndrome"
P351	"Congenital cytomegalovirus infection"
P352	"Congenital herpesviral [herpes simplex] infection"
P353	"Congenital viral hepatitis"
P358	"Other congenital viral diseases"
P359	"Congenital viral disease	 unspecified"
P36	"Bacterial sepsis of newborn"
P360	"Sepsis of newborn due to streptococcus	 group B"
P361	"Sepsis of newborn due to other and unspecified streptococci"
P362	"Sepsis of newborn due to Staphylococcus aureus"
P363	"Sepsis of newborn due to other and unspecified staphylococci"
P364	"Sepsis of newborn due to Escherichia coli"
P365	"Sepsis of newborn due to anaerobes"
P368	"Other bacterial sepsis of newborn"
P369	"Bacterial sepsis of newborn	 unspecified"
P37	"Other congenital infectious and parasitic diseases"
P370	"Congenital tuberculosis"
P371	"Congenital toxoplasmosis"
P372	"Neonatal (disseminated) listeriosis"
P373	"Congenital falciparum malaria"
P374	"Other congenital malaria"
P375	"Neonatal candidiasis"
P378	"Other specified congenital infectious and parasitic diseases"
P379	"Congenital infectious and parasitic disease	 unspecified"
P38	"Omphalitis of newborn with or without mild haemorrhage"
P39	"Other infections specific to the perinatal period"
P390	"Neonatal infective mastitis"
P391	"Neonatal conjunctivitis and dacryocystitis"
P392	"Intra-amniotic infection of fetus	 not elsewhere classified"
P393	"Neonatal urinary tract infection"
P394	"Neonatal skin infection"
P398	"Other specified infections specific to the perinatal period"
P399	"Infection specific to the perinatal period	 unspecified"
P50	"Fetal blood loss"
P500	"Fetal blood loss from vasa praevia"
P501	"Fetal blood loss from ruptured cord"
P502	"Fetal blood loss from placenta"
P503	"Haemorrhage into co-twin"
P504	"Haemorrhage into maternal circulation"
P505	"Fetal blood loss from cut end of co-twin's cord"
P508	"Other fetal blood loss"
P509	"Fetal blood loss	 unspecified"
P51	"Umbilical haemorrhage of newborn"
P510	"Massive umbilical haemorrhage of newborn"
P518	"Other umbilical haemorrhages of newborn"
P519	"Umbilical haemorrhage of newborn	 unspecified"
P52	"Intracranial nontraumatic haemorrhage of fetus and newborn"
P520	"Intraventricular (nontraumatic) haemorrhage	 grade 1	 of fetus and newborn"
P521	"Intraventricular (nontraumatic) haemorrhage	 grade 2	 of fetus and newborn"
P522	"Intraventricular (nontraumatic) haemorrhage	 grade 3	 of fetus and newborn"
P523	"Unspecified intraventricular (nontraumatic) haemorrhage of fetus and newborn"
P524	"Intracerebral (nontraumatic) haemorrhage of fetus and newborn"
P525	"Subarachnoid (nontraumatic) haemorrhage of fetus and newborn"
P526	"Cerebellar (nontraumatic) and posterior fossa haemorrhage of fetus and newborn"
P528	"Other intracranial (nontraumatic) haemorrhages of fetus and newborn"
P529	"Intracranial (nontraumatic) haemorrhage of fetus and newborn	 unspecified"
P53	"Haemorrhagic disease of fetus and newborn"
P54	"Other neonatal haemorrhages"
P540	"Neonatal haematemesis"
P541	"Neonatal melaena"
P542	"Neonatal rectal haemorrhage"
P543	"Other neonatal gastrointestinal haemorrhage"
P544	"Neonatal adrenal haemorrhage"
P545	"Neonatal cutaneous haemorrhage"
P546	"Neonatal vaginal haemorrhage"
P548	"Other specified neonatal haemorrhages"
P549	"Neonatal haemorrhage	 unspecified"
P55	"Haemolytic disease of fetus and newborn"
P550	"Rh isoimmunization of fetus and newborn"
P551	"ABO isoimmunization of fetus and newborn"
P558	"Other haemolytic diseases of fetus and newborn"
P559	"Haemolytic disease of fetus and newborn	 unspecified"
P56	"Hydrops fetalis due to haemolytic disease"
P560	"Hydrops fetalis due to isoimmunization"
P569	"Hydrops fetalis due to other and unspecified haemolytic disease"
P57	"Kernicterus"
P570	"Kernicterus due to isoimmunization"
P578	"Other specified kernicterus"
P579	"Kernicterus	 unspecified"
P58	"Neonatal jaundice due to other excessive haemolysis"
P580	"Neonatal jaundice due to bruising"
P581	"Neonatal jaundice due to bleeding"
P582	"Neonatal jaundice due to infection"
P583	"Neonatal jaundice due to polycythaemia"
P584	"Neonatal jaundice due to drugs or toxins transmitted from mother or given to newborn"
P585	"Neonatal jaundice due to swallowed maternal blood"
P588	"Neonatal jaundice due to other specified excessive haemolysis"
P589	"Neonatal jaundice due to excessive haemolysis	 unspecified"
P59	"Neonatal jaundice from other and unspecified causes"
P590	"Neonatal jaundice associated with preterm delivery"
